frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,http.request.method,http.user_agent,frame.len,Label
0,172.16.33.16,172.16.33.16,8794,5000,,,56,0
0.000139,172.16.33.16,172.16.33.16,5000,8794,,,56,0
0.0002,172.16.33.16,172.16.33.16,8794,5000,,,44,0
0.000636,172.16.33.16,172.16.33.16,8794,5000,GET,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 Edg/137.0.0.0",502,0
0.00069,172.16.33.16,172.16.33.16,5000,8794,,,44,0
0.015435,172.16.33.16,172.16.33.16,8795,5000,,,56,0
0.015568,172.16.33.16,172.16.33.16,5000,8795,,,56,0
0.015621,172.16.33.16,172.16.33.16,8795,5000,,,44,0
0.020594,172.16.33.16,172.16.33.16,5000,8794,,,217,0
0.020651,172.16.33.16,172.16.33.16,8794,5000,,,44,0
0.020703,172.16.33.16,172.16.33.16,5000,8794,,,278,0
0.020722,172.16.33.16,172.16.33.16,8794,5000,,,44,0
0.021524,172.16.33.16,172.16.33.16,8794,5000,,,44,0
0.021564,172.16.33.16,172.16.33.16,5000,8794,,,44,0
0.023606,172.16.33.16,172.16.33.16,5000,8794,,,44,0
0.023661,172.16.33.16,172.16.33.16,8794,5000,,,44,0
9.610535,172.16.33.16,172.16.33.16,8795,5000,POST,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 Edg/137.0.0.0",703,0
9.610595,172.16.33.16,172.16.33.16,5000,8795,,,44,0
9.611793,172.16.33.16,172.16.33.16,8806,5000,,,56,0
9.61194,172.16.33.16,172.16.33.16,5000,8806,,,56,0
9.611992,172.16.33.16,172.16.33.16,8806,5000,,,44,0
9.613753,172.16.33.16,172.16.33.16,5000,8795,,,216,0
9.613811,172.16.33.16,172.16.33.16,8795,5000,,,44,0
9.613852,172.16.33.16,172.16.33.16,5000,8795,,,58,0
9.613869,172.16.33.16,172.16.33.16,8795,5000,,,44,0
9.614598,172.16.33.16,172.16.33.16,8795,5000,,,44,0
9.61464,172.16.33.16,172.16.33.16,5000,8795,,,44,0
9.617569,172.16.33.16,172.16.33.16,5000,8795,,,44,0
9.617638,172.16.33.16,172.16.33.16,8795,5000,,,44,0
16.738083,172.16.33.16,172.16.33.16,5000,8806,,,44,0
21.561746,127.0.0.1,127.0.0.1,8809,5000,,,56,1
21.561778,127.0.0.1,127.0.0.1,5000,8809,,,44,1
22.066847,127.0.0.1,127.0.0.1,8809,5000,,,56,1
22.066888,127.0.0.1,127.0.0.1,5000,8809,,,44,1
22.567816,127.0.0.1,127.0.0.1,8809,5000,,,56,1
22.56786,127.0.0.1,127.0.0.1,5000,8809,,,44,1
23.070129,127.0.0.1,127.0.0.1,8809,5000,,,56,1
23.070176,127.0.0.1,127.0.0.1,5000,8809,,,44,1
23.570899,127.0.0.1,127.0.0.1,8809,5000,,,56,1
23.570946,127.0.0.1,127.0.0.1,5000,8809,,,44,1
